Census year,Block ID,Property ID,Base property ID,Building address,CLUE small area,Trading name,Business address,Industry (ANZSIC4) code,Industry (ANZSIC4) description,Seating type,Number of seats,Longitude,Latitude,location
2008,37,102157,102157,90-98 Collins Street MELBOURNE 3000,Melbourne (CBD),Alfred's Place,"Shop 5, Ground , 90 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,80,144.9702869016,-37.81401767581488,"-37.81401767581488, 144.9702869016"
2008,37,102158,102158,86-88 Collins Street MELBOURNE 3000,Melbourne (CBD),Collins Quarter,86A Collins Street MELBOURNE 3000,4520,"Pubs, Taverns and Bars",Seats - Indoor,171,144.97058439120002,-37.81393676544812,"-37.81393676544812, 144.97058439120002"
2008,37,102161,102161,80 Collins Street MELBOURNE 3000,Melbourne (CBD),Mediterranean Deli,"Shop 6, 80 Collins Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,4,144.97068632126258,-37.8136393079,"-37.8136393079, 144.97068632126258"
2008,38,102164,102164,56-64 Collins Street MELBOURNE 3000,Melbourne (CBD),Corporate Cafe,"Ground , 60 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,60,144.97162391175,-37.81361896663932,"-37.81361896663932, 144.97162391175"
2008,38,102166,102166,36-50 Collins Street MELBOURNE 3000,Melbourne (CBD),The Melbourne Club,36-50 Collins Street MELBOURNE 3000,4530,Clubs (Hospitality),Seats - Indoor,137,144.97211305995,-37.8132488337415,"-37.8132488337415, 144.97211305995"
2008,38,102168,102168,24-28 Collins Street MELBOURNE 3000,Melbourne (CBD),McDonald's,"Shop 3, Ground , 24-28 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Indoor,48,144.97270145119154,-37.81341900955,"-37.81341900955, 144.97270145119154"
2008,38,102168,102168,24-28 Collins Street MELBOURNE 3000,Melbourne (CBD),McDonald's,"Shop 3, Ground , 24-28 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,16,144.97270145119154,-37.81341900955,"-37.81341900955, 144.97270145119154"
2008,38,102169,102169,18-22 Collins Street MELBOURNE 3000,Melbourne (CBD),Engel's Sandwich Bar & Delicatessen,"Shop 1, Ground , 20 Collins Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Outdoor,10,144.9728921537,-37.81330491868273,"-37.81330491868273, 144.9728921537"
2008,38,102169,102169,18-22 Collins Street MELBOURNE 3000,Melbourne (CBD),Engel's Sandwich Bar & Delicatessen,"Shop 1, Ground , 20 Collins Street MELBOURNE 3000",4512,Takeaway Food Services,Seats - Indoor,15,144.9728921537,-37.81330491868273,"-37.81330491868273, 144.9728921537"
2008,38,102169,102169,18-22 Collins Street MELBOURNE 3000,Melbourne (CBD),Paris End Cafe,"Shop 2, Ground , 20 Collins Street MELBOURNE 3000",4511,Cafes and Restaurants,Seats - Outdoor,20,144.9728921537,-37.81330491868273,"-37.81330491868273, 144.9728921537"
