lifespan_numeric,industry_cafe,log_seats,outdoor_seating,mixed_seating,same_ind,other_ind,on_best_street,on_worst_street,clue_melbourne__cbd_,clue_carlton,clue_docklands,clue_southbank,clue_north_melbourne,clue_west_melbourne__residential_,clue_east_melbourne,clue_parkville,clue_melbourne__remainder_,clue_kensington,property_competition
9,0,4.394449154672439,0,1,23,80,0,0,1,0,0,0,0,0,0,0,0,0,3
6,1,4.31748811353631,0,1,159,64,0,0,1,0,0,0,0,0,0,0,0,0,3
4,1,4.343805421853684,0,1,79,24,0,0,1,0,0,0,0,0,0,0,0,0,3
2,1,4.007333185232471,0,1,193,78,0,0,1,0,0,0,0,0,0,0,0,0,3
5,1,4.343805421853684,0,1,112,44,0,0,1,0,0,0,0,0,0,0,0,0,5
19,1,4.948759890378168,1,0,79,24,0,0,1,0,0,0,0,0,0,0,0,0,3
4,1,3.9318256327243257,0,0,120,36,0,0,1,0,0,0,0,0,0,0,0,0,2
5,1,5.081404364984463,0,0,79,3,0,0,1,0,0,0,0,0,0,0,0,0,1
17,1,4.795790545596741,0,0,119,14,0,0,1,0,0,0,0,0,0,0,0,0,2
10,1,4.174387269895637,0,0,166,23,0,0,1,0,0,0,0,0,0,0,0,0,2
15,1,4.143134726391533,0,0,119,14,0,0,1,0,0,0,0,0,0,0,0,0,2
10,1,3.9318256327243257,0,0,79,3,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1,3.9318256327243257,0,0,181,25,0,0,1,0,0,0,0,0,0,0,0,0,3
22,1,3.367295829986474,0,1,91,3,0,0,1,0,0,0,0,0,0,0,0,0,2
16,1,3.8066624897703196,0,0,91,3,0,0,1,0,0,0,0,0,0,0,0,0,2
2,0,2.833213344056216,0,0,11,118,0,0,1,0,0,0,0,0,0,0,0,0,4
4,1,3.9318256327243257,0,0,255,40,0,0,1,0,0,0,0,0,0,0,0,0,3
3,0,2.833213344056216,0,0,2,92,0,0,1,0,0,0,0,0,0,0,0,0,2
8,0,1.6094379124341003,0,0,7,108,0,0,1,0,0,0,0,0,0,0,0,0,4
2,1,3.9318256327243257,0,0,229,35,0,0,1,0,0,0,0,0,0,0,0,0,3
1,0,3.044522437723423,0,0,7,108,0,0,1,0,0,0,0,0,0,0,0,0,4
15,1,4.394449154672439,0,0,117,12,0,0,1,0,0,0,0,0,0,0,0,0,4
2,1,4.61512051684126,0,0,89,4,0,0,1,0,0,0,0,0,0,0,0,0,2
15,1,4.795790545596741,0,0,140,15,0,0,1,0,0,0,0,0,0,0,0,0,1
4,1,5.5254529391317835,0,0,173,24,0,0,1,0,0,0,0,0,0,0,0,0,5
18,1,5.5254529391317835,0,0,89,4,0,0,1,0,0,0,0,0,0,0,0,0,2
2,1,5.707110264748875,0,0,258,39,0,0,1,0,0,0,0,0,0,0,0,0,5
5,0,3.044522437723423,1,0,3,90,0,0,1,0,0,0,0,0,0,0,0,0,2
4,1,4.110873864173311,0,0,173,24,0,0,1,0,0,0,0,0,0,0,0,0,5
